participant,clip_title,timestamp,avg_bpm,bpm_drift,max_bpm,hr_sequence,self_reported_valence,self_reported_arousal,V_Cognitive_Alignment,V_Emotional_Resonance,V_Avg_Drift,A_Cognitive_Alignment,A_Emotional_Resonance,A_Avg_Drift,movie_name
aritra,AboutTime_133.mp4,2025-11-06 08:52:43.116,75.05,7,79,"[71, 73, 74, 75, 78, 79, 78, 78, 78, 75, 74, 76, 76, 73, 70, 71, 73, 76, 78]",3,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_133.mp4,2025-11-21 13:34:14.185,96.5,-3,99,"[97, 96, 96, 95, 96, 98, 98, 99, 97, 95, 95, 96, 98, 98, 96, 94]",5,5,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_133.mp4,2025-12-09 13:19:08.001,106.47,-5,110,"[109, 108, 107, 106, 106, 108, 109, 110, 110, 109, 108, 107, 105, 104, 104, 102, 103, 104, 104]",5,4,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,AboutTime_134.mp4,2025-10-17 09:01:06.175,82.9,2,87,"[82, 82, 81, 81, 83, 84, 84, 86, 85, 84, 80, 81, 79, 80, 82, 83, 84, 86, 87, 84]",4,3,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_134.mp4,2025-10-23 15:51:43.443,66.81,0,74,"[67, 65, 63, 62, 63, 66, 70, 72, 74, 70, 69, 67, 69, 67, 66, 64, 66, 65, 65, 66, 67]",3,4,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_134.mp4,2025-11-06 10:18:24.759,80.4,0,89,"[76, 76, 78, 77, 78, 80, 81, 80, 81, 85, 88, 89, 88, 85, 82, 78, 77, 77, 76, 76]",4,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_134.mp4,2025-11-21 12:43:46.103,90.53,0,92,"[90, 91, 91, 89, 90, 92, 92, 91, 89, 90, 91, 91, 91, 90, 90]",5,4,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_134.mp4,2025-12-25 13:24:13.941,98.71,-4,103,"[97, 97, 98, 98, 98, 99, 100, 101, 103, 100, 101, 98, 99, 100, 99, 97, 93]",5,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_135.mp4,2025-10-15 16:56:33.588,72.76,3,76,"[73, 74, 75, 71, 70, 73, 75, 74, 72, 70, 73, 72, 70, 70, 73, 74, 73, 72, 73, 75, 76]",5,4,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
Nishant,AboutTime_135.mp4,2025-10-17 09:54:01.624,78.72,1,84,"[81, 78, 73, 71, 74, 78, 79, 79, 80, 81, 80, 79, 79, 78, 80, 81, 84, 82]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
aritra,AboutTime_135.mp4,2025-10-28 13:54:18.002,68.21,-6,72,"[69, 70, 71, 72, 70, 70, 72, 71, 70, 64, 64, 67, 69, 69, 68, 67, 66, 64, 63]",4,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_135.mp4,2025-11-21 12:55:29.755,90.37,5,95,"[90, 90, 89, 89, 90, 90, 89, 89, 91, 92, 91, 88, 87, 88, 91, 92, 91, 95, 95]",5,4,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_135.mp4,2025-12-09 14:02:15.003,98.89,3,103,"[97, 98, 100, 97, 99, 99, 100, 101, 103, 102, 102, 100, 94, 96, 95, 98, 99, 100]",4,4,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,AboutTime_136.mp4,2025-10-17 10:03:37.062,78.53,7,84,"[76, 75, 76, 75, 76, 77, 75, 76, 78, 79, 78, 80, 79, 78, 81, 82, 84, 84, 83]",4,4,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_136.mp4,2025-10-23 15:38:53.198,69.95,-8,76,"[73, 72, 70, 72, 71, 68, 72, 73, 70, 66, 68, 66, 75, 71, 76, 73, 66, 62, 65]",5,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_136.mp4,2025-10-28 15:17:55.952,77.64,-3,81,"[81, 78, 75, 74, 75, 78, 78, 79, 80, 81, 78, 75, 77, 78]",3,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
pranjal123,AboutTime_136.mp4,2025-10-29 11:28:52.934,73.25,-8,77,"[77, 76, 74, 74, 75, 75, 76, 75, 74, 73, 72, 71, 72, 70, 69, 69]",4,3,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
sayantankuila,AboutTime_136.mp4,2025-11-21 12:37:57.211,91.55,2,95,"[90, 92, 91, 90, 89, 88, 90, 91, 92, 95, 95, 93, 92, 92, 92, 92, 92, 91, 92, 92]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_136.mp4,2025-12-25 13:05:36.034,94.1,-6,100,"[99, 98, 98, 99, 100, 92, 89, 91, 93, 92, 90, 93, 98, 97, 93, 91, 91, 92, 93, 93]",5,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,Gifted_041.mp4,2025-10-17 08:33:46.085,82.33,1,86,"[85, 83, 82, 82, 82, 79, 80, 81, 80, 82, 83, 82, 83, 85, 86]",3,2,31.75,60.95,-1.266,44.16,61.31,-0.836,Gifted
debjit2001,Gifted_041.mp4,2025-10-23 14:55:44.625,72.75,-6,83,"[76, 77, 79, 78, 83, 80, 77, 75, 74, 73, 70, 71, 72, 71, 69, 65, 64, 65, 66, 70]",2,2,41.61,59.49,-0.62,36.86,33.94,-1.42,Gifted
aritra,Gifted_041.mp4,2025-10-28 15:45:19.118,76.8,1,81,"[75, 77, 78, 76, 77, 77, 79, 80, 81, 79, 77, 73, 73, 74, 76]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,Gifted
sayantankuila,Gifted_041.mp4,2025-11-21 12:46:53.258,90.74,2,95,"[90, 92, 92, 92, 91, 92, 95, 93, 87, 87, 87, 89, 91, 91, 91, 91, 90, 91, 92]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,Gifted
ajaycc17,Gifted_041.mp4,2025-12-25 12:49:24.026,99.95,-1,105,"[102, 102, 101, 99, 97, 98, 97, 96, 98, 99, 100, 100, 99, 100, 101, 101, 105, 103, 101]",3,3,40.15,68.25,-0.409,36.86,55.47,-1.566,Gifted
debjit2001,Gifted_045.mp4,2025-10-23 15:20:32.023,65.7,-8,69,"[69, 68, 68, 67, 67, 66, 65, 66, 65, 66, 67, 65, 67, 66, 65, 66, 65, 63, 62, 61]",3,3,41.61,59.49,-0.62,36.86,33.94,-1.42,Gifted
aritra,Gifted_045.mp4,2025-10-28 15:47:59.844,77.58,-8,86,"[83, 82, 83, 86, 85, 84, 77, 74, 73, 74, 76, 77, 73, 71, 72, 75, 77, 77, 75]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,Gifted
pranjal123,Gifted_045.mp4,2025-10-29 11:01:48.871,79.69,0,86,"[82, 80, 79, 78, 77, 76, 77, 78, 77, 79, 78, 80, 81, 86, 85, 82]",2,3,32.12,35.77,-1.38,23.72,30.29,-1.741,Gifted
sayantankuila,Gifted_045.mp4,2025-11-21 12:28:55.492,93.06,-3,95,"[95, 94, 95, 95, 94, 90, 88, 89, 92, 94, 95, 94, 95, 94, 93, 92]",5,5,43.43,67.88,-0.69,41.97,49.64,-1.201,Gifted
Nishant,Gifted_049.mp4,2025-10-17 08:38:51.270,81.25,1,85,"[80, 79, 80, 80, 80, 79, 80, 81, 82, 84, 83, 85, 83, 83, 80, 81]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,Gifted
debjit2001,Gifted_049.mp4,2025-10-23 15:41:38.658,63.35,8,72,"[64, 64, 63, 61, 59, 59, 59, 60, 64, 67, 68, 65, 64, 62, 60, 62, 62, 59, 61, 64, 68, 70, 72]",5,1,41.61,59.49,-0.62,36.86,33.94,-1.42,Gifted
aritra,Gifted_049.mp4,2025-11-06 09:04:12.858,75.26,9,81,"[72, 73, 74, 76, 77, 76, 76, 75, 75, 76, 75, 73, 72, 74, 75, 76, 76, 78, 81]",5,1,23.72,65.69,-1.073,18.25,70.8,-1.482,Gifted
ajaycc17,Gifted_049.mp4,2025-11-16 13:30:20.768,84.12,-7,88,"[88, 86, 86, 83, 82, 81, 82, 84, 84, 87, 87, 84, 85, 84, 82, 81]",5,4,40.15,68.25,-0.409,36.86,55.47,-1.566,Gifted
sayantankuila,Gifted_049.mp4,2025-11-21 13:20:34.498,90.19,9,96,"[87, 87, 88, 88, 89, 90, 91, 90, 87, 88, 88, 87, 88, 89, 91, 92, 94, 95, 96, 93, 96]",5,4,43.43,67.88,-0.69,41.97,49.64,-1.201,Gifted
debjit2001,LadyBird_001.mp4,2025-10-23 14:46:40.768,65.5,2,69,"[66, 67, 67, 64, 63, 64, 65, 64, 65, 63, 64, 66, 69, 67, 66, 68]",3,2,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
aritra,LadyBird_001.mp4,2025-10-28 15:31:16.280,75.07,0,78,"[76, 77, 75, 74, 73, 72, 73, 74, 74, 74, 76, 78, 78, 76, 76]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
pranjal123,LadyBird_001.mp4,2025-10-29 10:54:22.802,78.16,1,81,"[78, 80, 81, 80, 80, 78, 77, 76, 75, 76, 77, 79, 78, 79, 77, 78, 79, 78, 79]",2,2,32.12,35.77,-1.38,23.72,30.29,-1.741,LadyBird
sayantankuila,LadyBird_001.mp4,2025-11-20 07:45:17.551,80.61,-1,85,"[79, 81, 81, 82, 82, 82, 83, 85, 83, 81, 80, 79, 79, 79, 78, 80, 79, 78]",5,5,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_001.mp4,2025-12-25 13:34:39.399,95.33,15,104,"[89, 90, 94, 96, 95, 94, 95, 93, 92, 93, 94, 95, 95, 94, 96, 104, 103, 104]",3,2,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_003.mp4,2025-10-15 16:42:28.458,73.05,3,79,"[71, 70, 68, 71, 72, 70, 68, 70, 73, 76, 77, 79, 76, 77, 75, 74, 73, 74, 73, 74]",3,1,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
pranjal123,LadyBird_003.mp4,2025-10-29 11:34:28.825,76.83,2,80,"[75, 76, 80, 78, 76, 74, 73, 73, 74, 77, 79, 80, 79, 78, 79, 78, 77, 77]",2,2,32.12,35.77,-1.38,23.72,30.29,-1.741,LadyBird
aritra,LadyBird_003.mp4,2025-11-06 08:33:55.739,80.94,-2,86,"[82, 83, 85, 86, 84, 81, 82, 80, 78, 76, 77, 79, 78, 80, 82, 83, 81, 80]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_003.mp4,2025-11-21 13:26:01.363,96.42,-15,111,"[108, 111, 105, 103, 96, 90, 89, 88, 93, 98, 99, 100, 98, 97, 96, 92, 90, 92, 94, 96, 97, 95, 94, 93]",2,2,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_003.mp4,2025-12-09 13:30:37.795,105.0,2,109,"[107, 106, 107, 106, 105, 104, 102, 101, 102, 104, 105, 106, 107, 106, 104, 103, 103, 105, 108, 109]",2,4,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_005.mp4,2025-10-15 17:33:22.910,64.89,1,71,"[67, 68, 65, 63, 66, 67, 66, 67, 66, 64, 63, 61, 59, 60, 62, 65, 71, 68]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
aritra,LadyBird_005.mp4,2025-11-06 08:47:24.720,75.94,5,79,"[74, 73, 76, 75, 75, 77, 79, 78, 76, 76, 76, 75, 74, 74, 75, 76, 79, 79]",1,4,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_005.mp4,2025-11-21 13:18:40.977,87.43,4,92,"[83, 90, 92, 91, 84, 83, 83, 85, 87, 89, 90, 85, 88, 90, 90, 87, 88, 89, 88, 87, 87]",1,5,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_005.mp4,2025-12-25 13:32:42.059,92.74,-6,96,"[95, 93, 95, 95, 90, 91, 91, 92, 93, 94, 96, 93, 94, 94, 93, 93, 91, 90, 89]",1,4,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_011.mp4,2025-10-15 17:03:28.135,73.55,1,82,"[72, 74, 78, 79, 82, 82, 81, 78, 73, 69, 67, 66, 70, 73, 72, 72, 72, 71, 71, 71, 72, 73]",5,5,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
Nishant,LadyBird_011.mp4,2025-10-17 08:34:08.652,82.38,3,86,"[82, 82, 82, 79, 80, 81, 80, 82, 83, 82, 83, 85, 86, 84, 82, 85]",4,3,31.75,60.95,-1.266,44.16,61.31,-0.836,LadyBird
pranjal123,LadyBird_011.mp4,2025-10-29 11:04:10.478,81.44,8,89,"[77, 76, 77, 78, 77, 76, 75, 76, 80, 82, 83, 85, 87, 89, 88, 89, 86, 85]",5,5,32.12,35.77,-1.38,23.72,30.29,-1.741,LadyBird
aritra,LadyBird_011.mp4,2025-11-06 08:49:00.059,76.82,0,82,"[76, 79, 79, 76, 77, 82, 81, 78, 76, 77, 78, 76, 75, 75, 75, 76, 77, 77, 75, 74, 75, 76]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_011.mp4,2025-11-21 12:53:40.401,92.33,-2,95,"[92, 93, 94, 93, 92, 91, 92, 93, 94, 93, 91, 91, 91, 92, 95, 93, 92, 90]",5,4,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_011.mp4,2025-12-09 14:17:28.726,95.96,-1,103,"[99, 100, 103, 101, 98, 96, 92, 89, 88, 90, 94, 96, 98, 99, 100, 96, 95, 94, 93, 95, 96, 97, 98]",4,2,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_013.mp4,2025-10-15 16:52:23.258,67.9,1,71,"[68, 66, 65, 67, 67, 67, 71, 68, 67, 67, 70, 68, 65, 69, 69, 70, 68, 69, 68, 69]",3,2,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
Nishant,LadyBird_013.mp4,2025-10-17 09:10:12.563,89.29,-4,102,"[89, 90, 85, 87, 85, 85, 88, 89, 90, 91, 92, 95, 91, 102, 101, 94, 89, 82, 81, 84, 85]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,LadyBird
aritra,LadyBird_013.mp4,2025-11-06 08:36:01.333,81.61,2,84,"[82, 83, 82, 79, 80, 81, 80, 80, 82, 82, 82, 82, 82, 83, 82, 81, 82, 84]",4,1,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_013.mp4,2025-11-21 13:32:55.953,97.06,3,103,"[93, 94, 95, 96, 98, 100, 103, 101, 99, 97, 97, 97, 96, 96, 95, 96]",5,5,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_013.mp4,2025-12-25 13:11:06.620,95.85,7,103,"[96, 95, 97, 99, 97, 96, 91, 86, 89, 92, 94, 95, 98, 99, 100, 96, 96, 98, 100, 103]",4,3,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_017.mp4,2025-10-23 15:21:45.246,64.43,0,69,"[65, 67, 66, 65, 66, 65, 63, 62, 61, 62, 63, 61, 58, 60, 67, 69, 68, 67, 66, 67, 65]",3,3,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
pranjal123,LadyBird_017.mp4,2025-10-29 10:59:51.660,79.0,2,81,"[79, 78, 79, 79, 80, 79, 79, 78, 77, 78, 79, 79, 80, 80, 81]",5,5,32.12,35.77,-1.38,23.72,30.29,-1.741,LadyBird
aritra,LadyBird_017.mp4,2025-11-06 08:32:25.021,82.64,5,86,"[81, 82, 81, 80, 81, 82, 85, 86, 82, 81, 82, 83, 85, 86]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_017.mp4,2025-11-21 13:02:42.530,87.16,7,90,"[81, 81, 82, 84, 88, 89, 90, 89, 90, 89, 88, 87, 87, 87, 88, 89, 90, 89, 88]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_017.mp4,2025-12-09 13:59:38.154,103.17,-6,109,"[105, 106, 108, 109, 108, 102, 106, 104, 102, 98, 100, 101, 102, 101, 104, 101, 101, 99]",3,3,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
Nishant,LadyBird_019.mp4,2025-10-17 10:13:29.031,88.69,4,93,"[84, 88, 90, 85, 83, 84, 87, 89, 91, 92, 93, 93, 92, 91, 89, 88]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,LadyBird
debjit2001,LadyBird_019.mp4,2025-10-23 15:51:13.948,66.57,1,74,"[65, 64, 64, 65, 67, 65, 63, 62, 63, 66, 70, 72, 74, 70, 69, 67, 69, 67, 66, 64, 66]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
pranjal123,LadyBird_019.mp4,2025-10-29 11:29:20.022,73.22,5,80,"[74, 75, 75, 76, 75, 74, 73, 72, 71, 72, 70, 69, 69, 68, 71, 75, 80, 79]",2,3,32.12,35.77,-1.38,23.72,30.29,-1.741,LadyBird
aritra,LadyBird_019.mp4,2025-11-06 10:31:56.675,74.29,-3,83,"[83, 74, 71, 73, 74, 73, 73, 72, 71, 70, 70, 71, 74, 76, 77, 76, 75, 74, 75, 78, 80]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_019.mp4,2025-11-21 12:44:51.697,90.12,-1,91,"[90, 91, 91, 91, 90, 90, 89, 89, 90, 91, 91, 90, 90, 90, 90, 89]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_019.mp4,2025-12-25 12:49:09.720,99.56,1,102,"[100, 102, 102, 102, 101, 99, 97, 98, 97, 96, 98, 99, 100, 100, 99, 100, 101, 101]",1,1,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
Nishant,LadyBird_024.mp4,2025-10-17 09:37:53.568,82.6,2,92,"[81, 84, 91, 92, 87, 84, 77, 76, 78, 79, 81, 82, 83, 83, 83, 83, 82, 81, 82, 83]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,LadyBird
debjit2001,LadyBird_024.mp4,2025-10-23 14:43:59.916,66.45,-4,69,"[69, 69, 68, 66, 65, 65, 66, 67, 66, 66, 64, 64, 66, 68, 68, 67, 69, 66, 65, 65]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
aritra,LadyBird_024.mp4,2025-11-06 08:53:04.656,76.8,8,83,"[75, 78, 79, 78, 78, 78, 75, 74, 76, 76, 73, 70, 71, 73, 76, 78, 81, 82, 82, 83]",3,1,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_024.mp4,2025-11-20 08:04:06.451,75.67,1,80,"[76, 75, 74, 75, 77, 76, 75, 74, 74, 74, 75, 78, 80, 76, 74, 75, 77, 77]",5,5,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_024.mp4,2025-12-25 12:06:31.849,97.33,-10,104,"[103, 102, 100, 98, 96, 97, 99, 100, 104, 103, 100, 99, 93, 89, 90, 92, 95, 97, 98, 96, 93]",4,4,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_030.mp4,2025-10-15 17:41:08.176,64.28,1,72,"[62, 63, 62, 59, 60, 61, 62, 63, 64, 66, 72, 70, 67, 67, 67, 65, 64, 63]",4,5,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
Nishant,LadyBird_030.mp4,2025-10-17 10:01:34.158,79.64,-1,84,"[78, 78, 81, 83, 84, 83, 78, 75, 74, 74, 79, 80, 79, 80, 81, 81, 82, 81, 83, 82, 79, 77]",4,3,31.75,60.95,-1.266,44.16,61.31,-0.836,LadyBird
aritra,LadyBird_030.mp4,2025-10-28 15:52:17.330,76.0,2,77,"[75, 77]",5,4,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
pranjal123,LadyBird_030.mp4,2025-10-29 10:55:28.688,78.62,0,80,"[79, 78, 79, 77, 78, 79, 78, 79, 80, 78, 78, 79, 80, 79, 78, 79]",4,3,32.12,35.77,-1.38,23.72,30.29,-1.741,LadyBird
sayantankuila,LadyBird_030.mp4,2025-11-21 13:00:55.009,85.74,-4,91,"[86, 86, 87, 86, 85, 83, 84, 86, 87, 88, 89, 90, 91, 89, 85, 83, 81, 81, 82]",4,3,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_030.mp4,2025-12-25 13:29:31.841,96.71,-8,104,"[96, 95, 97, 98, 98, 99, 100, 104, 103, 101, 98, 95, 96, 98, 104, 96, 94, 92, 89, 90, 88]",5,4,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_031.mp4,2025-10-23 15:12:13.015,73.22,14,82,"[67, 64, 64, 65, 64, 66, 70, 72, 73, 75, 76, 81, 82, 79, 80, 79, 80, 81]",3,3,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
aritra,LadyBird_031.mp4,2025-10-28 15:17:25.288,77.71,3,81,"[75, 78, 78, 81, 78, 75, 74, 75, 78, 78, 79, 80, 81, 78]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_031.mp4,2025-11-21 12:38:36.332,91.53,-2,95,"[91, 92, 95, 95, 93, 92, 92, 92, 92, 92, 91, 92, 92, 90, 88, 88, 89]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_031.mp4,2025-12-25 12:14:43.260,96.68,1,100,"[96, 96, 96, 97, 98, 97, 98, 100, 99, 94, 93, 96, 95, 96, 97, 99, 97, 96, 97]",2,2,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
Nishant,LadyBird_045.mp4,2025-10-17 09:49:34.123,81.11,-2,84,"[84, 83, 82, 81, 80, 79, 79, 78, 78, 80, 81, 82, 82, 80, 81, 83, 84, 82, 82]",2,4,31.75,60.95,-1.266,44.16,61.31,-0.836,LadyBird
debjit2001,LadyBird_045.mp4,2025-10-23 15:11:33.568,67.67,16,81,"[65, 65, 64, 61, 62, 64, 67, 64, 64, 65, 64, 66, 70, 72, 73, 75, 76, 81]",3,3,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
pranjal123,LadyBird_045.mp4,2025-10-29 11:25:14.767,70.78,-4,75,"[75, 74, 73, 72, 71, 69, 68, 70, 69, 68, 68, 68, 70, 73, 74, 71, 70, 71]",4,4,32.12,35.77,-1.38,23.72,30.29,-1.741,LadyBird
aritra,LadyBird_045.mp4,2025-11-06 10:55:48.425,77.37,-5,83,"[79, 78, 79, 78, 77, 77, 77, 81, 83, 79, 76, 77, 79, 80, 75, 74, 73, 74, 74]",1,2,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_045.mp4,2025-11-20 08:01:45.856,77.42,8,82,"[69, 74, 82, 79, 81, 79, 77, 78, 80, 79, 76, 75, 76, 76, 77, 79, 79, 78, 77]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_045.mp4,2025-12-09 14:10:14.827,101.0,-7,108,"[104, 104, 104, 107, 108, 107, 103, 103, 102, 100, 99, 97, 97, 98, 97, 98, 97, 97, 97]",4,3,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_048.mp4,2025-10-23 15:59:11.679,68.65,-4,73,"[67, 68, 69, 71, 70, 68, 70, 71, 73, 72, 70, 69, 67, 68, 65, 66, 63]",3,1,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
aritra,LadyBird_048.mp4,2025-11-06 08:54:21.190,76.24,0,83,"[70, 71, 73, 76, 78, 81, 82, 82, 83, 82, 80, 77, 75, 76, 74, 75, 77, 75, 73, 71, 70]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_048.mp4,2025-11-21 13:34:57.954,95.21,-4,99,"[98, 98, 99, 97, 95, 95, 96, 98, 98, 96, 94, 96, 98, 97, 92, 87, 89, 92, 94]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
debjit2001,LadyBird_054.mp4,2025-10-15 16:50:23.153,74.32,1,80,"[72, 73, 75, 73, 71, 69, 72, 76, 76, 72, 73, 73, 74, 75, 76, 80, 80, 79, 73]",4,5,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
aritra,LadyBird_054.mp4,2025-11-06 10:31:02.460,76.26,-7,88,"[77, 75, 75, 76, 81, 86, 88, 87, 83, 74, 71, 73, 74, 73, 73, 72, 71, 70, 70]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
sayantankuila,LadyBird_054.mp4,2025-11-21 13:15:06.752,83.56,6,88,"[82, 81, 80, 80, 81, 82, 83, 82, 84, 86, 87, 86, 84, 83, 84, 85, 86, 88]",4,5,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_054.mp4,2025-12-25 12:41:17.796,95.94,-3,98,"[94, 97, 98, 98, 97, 96, 95, 97, 98, 96, 95, 95, 96, 97, 98, 95, 94, 91]",4,4,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_055.mp4,2025-10-23 14:52:20.016,72.5,-1,75,"[73, 71, 73, 72, 71, 73, 72, 73, 72, 71, 70, 72, 73, 75, 73, 74, 75, 72]",4,2,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
aritra,LadyBird_055.mp4,2025-10-28 13:55:42.832,68.2,0,76,"[69, 69, 68, 67, 66, 64, 63, 64, 65, 68, 69, 71, 75, 76, 75, 67, 65, 66, 68, 69]",3,1,23.72,65.69,-1.073,18.25,70.8,-1.482,LadyBird
pranjal123,LadyBird_055.mp4,2025-10-29 11:33:25.496,75.21,3,80,"[74, 75, 77, 76, 74, 73, 74, 75, 75, 75, 76, 80, 78, 76, 74, 73, 73, 74, 77]",4,3,32.12,35.77,-1.38,23.72,30.29,-1.741,LadyBird
sayantankuila,LadyBird_055.mp4,2025-11-21 12:38:52.143,91.13,-6,95,"[95, 93, 92, 92, 92, 92, 92, 91, 92, 92, 90, 88, 88, 89, 89]",3,4,43.43,67.88,-0.69,41.97,49.64,-1.201,LadyBird
ajaycc17,LadyBird_055.mp4,2025-12-09 13:14:05.496,106.0,0,108,"[105, 106, 106, 107, 107, 108, 106, 108, 106, 106, 105, 105, 106, 104, 105]",3,2,40.15,68.25,-0.409,36.86,55.47,-1.566,LadyBird
debjit2001,LadyBird_056.mp4,2025-10-15 16:27:53.666,69.76,-5,73,"[72, 69, 67, 68, 68, 69, 71, 71, 72, 71, 69, 69, 69, 70, 70, 71, 73, 72, 69, 68, 67]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,LadyBird
